invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total_price,profit
1,WALM003,San Antonio,Health and beauty,74.69,7.0,05/01/19,13:08:00,Ewallet,9.1,0.48,522.8299999999999,250.95839999999995
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,08/03/19,10:29:00,Cash,9.6,0.48,76.39999999999999,36.672
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,03/03/19,13:23:00,Credit card,7.4,0.33,324.31,107.0223
4,WALM064,Bedford,Health and beauty,58.22,8.0,27/01/19,20:33:00,Ewallet,8.4,0.33,465.76,153.70080000000002
5,WALM013,Irving,Sports and travel,86.31,7.0,08/02/19,10:37:00,Ewallet,5.3,0.48,604.1700000000001,290.0016
6,WALM026,Denton,Electronic accessories,85.39,7.0,25/03/19,18:30:00,Ewallet,4.1,0.48,597.73,286.9104
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,25/02/19,14:36:00,Ewallet,5.8,0.33,413.04,136.3032
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,24/02/19,11:38:00,Ewallet,8.0,0.18,735.6,132.408
9,WALM066,Grapevine,Health and beauty,36.26,2.0,10/01/19,17:15:00,Credit card,7.2,0.33,72.52,23.9316
10,WALM065,Texas City,Food and beverages,54.84,3.0,20/02/19,13:27:00,Credit card,5.9,0.33,164.52,54.2916
11,WALM013,Irving,Fashion accessories,14.48,4.0,06/02/19,18:07:00,Ewallet,4.5,0.48,57.92,27.8016
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,09/03/19,17:03:00,Cash,6.8,0.48,102.04,48.9792
13,WALM027,Abilene,Electronic accessories,46.95,5.0,12/02/19,10:25:00,Ewallet,7.1,0.48,234.75,112.67999999999999
14,WALM035,San Angelo,Food and beverages,43.19,10.0,07/02/19,16:48:00,Ewallet,8.2,0.48,431.9,207.31199999999998
15,WALM031,Lewisville,Health and beauty,71.38,10.0,29/03/19,19:21:00,Cash,5.7,0.48,713.8,342.62399999999997
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,15/01/19,16:19:00,Cash,4.5,0.48,562.3199999999999,269.9136
17,WALM029,Round Rock,Health and beauty,68.93,7.0,11/03/19,11:03:00,Credit card,4.6,0.48,482.51000000000005,231.6048
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,01/01/19,10:39:00,Credit card,6.9,0.33,435.65999999999997,143.7678
19,WALM053,Conroe,Food and beverages,54.67,3.0,21/01/19,18:00:00,Credit card,8.6,0.57,164.01,93.48569999999998
20,WALM013,Irving,Home and lifestyle,40.3,2.0,11/03/19,15:30:00,Ewallet,4.4,0.48,80.6,38.687999999999995
21,WALM044,Pharr,Electronic accessories,86.04,5.0,25/02/19,11:24:00,Ewallet,4.8,0.48,430.20000000000005,206.496
22,WALM088,Cleburne,Health and beauty,87.98,3.0,05/03/19,10:40:00,Ewallet,5.1,0.33,263.94,87.1002
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,15/03/19,12:20:00,Credit card,4.4,0.33,66.4,21.912000000000003
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,17/02/19,11:15:00,Ewallet,9.9,0.33,172.8,57.02400000000001
25,WALM023,Midland,Sports and travel,88.63,3.0,02/03/19,17:36:00,Ewallet,6.0,0.48,265.89,127.62719999999999
26,WALM001,Houston,Home and lifestyle,52.59,8.0,22/03/19,19:20:00,Credit card,8.5,0.36,420.72,151.4592
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,08/02/19,15:31:00,Cash,6.7,0.33,33.52,11.061600000000002
28,WALM046,Temple,Fashion accessories,87.67,2.0,10/03/19,12:17:00,Credit card,7.7,0.48,175.34,84.1632
29,WALM012,Garland,Food and beverages,88.36,5.0,25/01/19,19:48:00,Cash,9.6,0.48,441.8,212.064
30,WALM075,San Marcos,Health and beauty,24.89,9.0,15/03/19,15:36:00,Cash,7.4,0.33,224.01,73.9233
31,WALM076,Huntsville,Fashion accessories,94.13,5.0,25/02/19,19:39:00,Credit card,4.8,0.33,470.65,155.3145
32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,28/01/19,12:43:00,Cash,4.5,0.18,702.6299999999999,126.47339999999997
